factor	column	n_complete	n_missing	n_levels	minimum_level_n	median_level_n	maximum_level_n	bias_corrected_cramers_v	chi_square_p	subtype_permutation_p	adjusted_mutual_information	batch_only_cv_balanced_accuracy	batch_only_cv_macro_f1	pc1_to_pc10_eta_squared	pc_permutation_p	permutations
Tissue source site	tissue_source_site	981	0	38	1	8.0	137	0.11274036119052255	0.003899965511662131	0.02498750624687656	0.013900300556248352	0.251006978437581	0.219563852378495	0.0695364846084754	0.0004997501249375312	2000
RNA plate	rna_plate	981	0	41	1	15.0	86	0.11658414548104068	0.0031048008097343967	0.01249375312343828	0.012065285325365492	0.28795260198954575	0.20219422157399375	0.0755757319660987	0.0004997501249375312	2000
Legacy RNA-seq batch	legacy_rnaseq_batch	447	534	10	14	39.0	75	0.08020485088740113	0.09546970486284931	0.10044977511244378	0.009193079859851103	0.18898599163138025	0.1398978291547537	0.047217956891370885	0.0004997501249375312	2000
Aliquot center code	aliquot_center_code	981	0	1	981	981.0	981									0
GDC source center	source_center	981	0	1	981	981.0	981									0
