marker	cohort_n	known_n	positive_or_negative_n	coverage_percent	chi_square_positive_negative	chi_square_p	bias_corrected_cramers_v
ER	981	936	934	95.41284403669725	621.4202455611719	3.5814518034779126e-133	0.8134827588332567
PR	981	935	931	95.31090723751274	485.65055750615323	8.499631557770622e-104	0.7196525545432555
HER2	981	814	645	82.97655453618756	128.5342126472205	8.013914673292174e-27	0.43973506585946825
