scenario	display_name	comparison_family	cohort	matrix_kind	feature_scheme	class_weight	abundance_threshold	minimum_fraction	split_scheme	split_seed	outer_fold	outer_train_n	outer_validation_n	candidate_gene_count	low_expression_pass_genes	selected_genes	macro_f1	balanced_accuracy	accuracy	macro_ovr_roc_auc	macro_average_precision	multiclass_log_loss	warning_count
four_class_filter_tpm0_5_frac0_10	4-class · TPM≥0.5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	0.5	0.1	locked_patient_grouped	20260909	1	604	152	19962	15951	2000	0.8834619782732991	0.8743065402339596	0.9013157894736842	0.9845000531602075	0.9423702993712267	0.3772762226755731	0
four_class_filter_tpm0_5_frac0_10	4-class · TPM≥0.5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	0.5	0.1	locked_patient_grouped	20260909	2	605	151	19962	15951	2000	0.9309040016587187	0.9453125	0.9337748344370861	0.9889555243898147	0.9668322476448425	0.35010372347475305	0
four_class_filter_tpm0_5_frac0_10	4-class · TPM≥0.5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	0.5	0.1	locked_patient_grouped	20260909	3	605	151	19962	15950	2000	0.9068147972652812	0.8973958333333334	0.9072847682119205	0.979960627603965	0.9446820672740252	0.37265606109741584	0
four_class_filter_tpm0_5_frac0_10	4-class · TPM≥0.5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	0.5	0.1	locked_patient_grouped	20260909	4	605	151	19962	15959	2000	0.8621857151268916	0.8646990740740741	0.9139072847682119	0.9875365585857884	0.9279917051782496	0.3727413606283729	0
four_class_filter_tpm0_5_frac0_10	4-class · TPM≥0.5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	0.5	0.1	locked_patient_grouped	20260909	5	605	151	19962	15943	2000	0.9603051861016599	0.958248264597795	0.9536423841059603	0.9933514529740031	0.9828461477253991	0.34827851219563033	0
four_class_filter_tpm1_frac0_20	4-class · TPM≥1 in 20%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.2	locked_patient_grouped	20260909	1	604	152	19962	14482	2000	0.8720170454545455	0.8662420241049273	0.8947368421052632	0.9837134342215541	0.9397077907474478	0.37996592271834045	0
four_class_filter_tpm1_frac0_20	4-class · TPM≥1 in 20%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.2	locked_patient_grouped	20260909	2	605	151	19962	14466	2000	0.9360111662531018	0.9484375	0.9403973509933775	0.9888724051531647	0.9666456033054308	0.3496442064528333	0
four_class_filter_tpm1_frac0_20	4-class · TPM≥1 in 20%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.2	locked_patient_grouped	20260909	3	605	151	19962	14474	2000	0.9022242642430955	0.8942708333333333	0.9006622516556292	0.9806974093911047	0.9436346461043176	0.3699526814671941	0
four_class_filter_tpm1_frac0_20	4-class · TPM≥1 in 20%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.2	locked_patient_grouped	20260909	4	605	151	19962	14482	2000	0.856749161543682	0.8568865740740741	0.9072847682119205	0.9877720457182222	0.9284029317143536	0.374105908119218	0
four_class_filter_tpm1_frac0_20	4-class · TPM≥1 in 20%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.2	locked_patient_grouped	20260909	5	605	151	19962	14480	2000	0.9610757254069356	0.9631482237648019	0.9536423841059603	0.9936293441767615	0.9822915200035357	0.34598754768465034	0
four_class_filter_tpm5_frac0_10	4-class · TPM≥5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	5.0	0.1	locked_patient_grouped	20260909	1	604	152	19962	12883	2000	0.8673219861899106	0.8631170241049273	0.8881578947368421	0.9850185596074593	0.9457218923414719	0.3703025231017901	0
four_class_filter_tpm5_frac0_10	4-class · TPM≥5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	5.0	0.1	locked_patient_grouped	20260909	2	605	151	19962	12880	2000	0.9309040016587187	0.9453125	0.9337748344370861	0.9878186561887903	0.9625018082343417	0.35000054075994524	0
four_class_filter_tpm5_frac0_10	4-class · TPM≥5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	5.0	0.1	locked_patient_grouped	20260909	3	605	151	19962	12890	2000	0.89313274216476	0.8833333333333333	0.8874172185430463	0.9802086147243881	0.9479634150902589	0.3697170686595638	0
four_class_filter_tpm5_frac0_10	4-class · TPM≥5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	5.0	0.1	locked_patient_grouped	20260909	4	605	151	19962	12900	2000	0.871403133903134	0.8631365740740741	0.9205298013245033	0.9905968495085714	0.9385963068788286	0.36928473653602173	0
four_class_filter_tpm5_frac0_10	4-class · TPM≥5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	5.0	0.1	locked_patient_grouped	20260909	5	605	151	19962	12898	2000	0.9663127807268272	0.9663127807268272	0.9602649006622517	0.9925902295721609	0.9810161524437775	0.35118127225199836	0
four_class_unweighted	4-class · unweighted	class_weight	four_class	log2_tpm	whole_transcriptome_included	none	1.0	0.1	locked_patient_grouped	20260909	1	604	152	19962	15174	2000	0.872156267597354	0.8514234757178305	0.8947368421052632	0.9817588725212824	0.9286111230296189	0.36697144538266163	0
four_class_unweighted	4-class · unweighted	class_weight	four_class	log2_tpm	whole_transcriptome_included	none	1.0	0.1	locked_patient_grouped	20260909	2	605	151	19962	15170	2000	0.9214833759590793	0.8979166666666667	0.9205298013245033	0.9918534183039414	0.9816943149241684	0.3383707103305012	0
four_class_unweighted	4-class · unweighted	class_weight	four_class	log2_tpm	whole_transcriptome_included	none	1.0	0.1	locked_patient_grouped	20260909	3	605	151	19962	15184	2000	0.8488010038107631	0.8140625	0.8675496688741722	0.9786106567905812	0.9394569071349597	0.37319458717466375	0
four_class_unweighted	4-class · unweighted	class_weight	four_class	log2_tpm	whole_transcriptome_included	none	1.0	0.1	locked_patient_grouped	20260909	4	605	151	19962	15192	2000	0.8363097664841288	0.8141782407407407	0.8940397350993378	0.9873605520674665	0.9281337825349943	0.3541982469183308	0
four_class_unweighted	4-class · unweighted	class_weight	four_class	log2_tpm	whole_transcriptome_included	none	1.0	0.1	locked_patient_grouped	20260909	5	605	151	19962	15187	2000	0.9130769230769231	0.8888949963878506	0.9139072847682119	0.994645064879089	0.9869299059996224	0.3274328112818974	0
four_class_pam50_only	4-class · PAM50 only	feature_space	four_class	log2_tpm	pam50_only	balanced	1.0	0.1	locked_patient_grouped	20260909	1	604	152	50	49	49	0.932929582854956	0.934700682382134	0.9276315789473685	0.993343047118608	0.9785141876875807	0.2472392365182766	0
four_class_pam50_only	4-class · PAM50 only	feature_space	four_class	log2_tpm	pam50_only	balanced	1.0	0.1	locked_patient_grouped	20260909	2	605	151	50	49	49	0.9217409499895376	0.9359375	0.9337748344370861	0.9951511868679987	0.9806029704551148	0.24954480977694674	0
four_class_pam50_only	4-class · PAM50 only	feature_space	four_class	log2_tpm	pam50_only	balanced	1.0	0.1	locked_patient_grouped	20260909	3	605	151	50	49	49	0.9206059669803845	0.9260416666666667	0.9205298013245033	0.9858839864727935	0.9562873355902244	0.2813316354061304	0
four_class_pam50_only	4-class · PAM50 only	feature_space	four_class	log2_tpm	pam50_only	balanced	1.0	0.1	locked_patient_grouped	20260909	4	605	151	50	49	49	0.8589664339664339	0.853761574074074	0.9006622516556292	0.9899802349340269	0.9512830736121413	0.2842538710987848	0
four_class_pam50_only	4-class · PAM50 only	feature_space	four_class	log2_tpm	pam50_only	balanced	1.0	0.1	locked_patient_grouped	20260909	5	605	151	50	49	49	0.9499545040946314	0.9519191506737444	0.9403973509933775	0.9892592214509324	0.9774831744708672	0.2508890107916326	0
four_class_seed_20260909_patient_grouped	4-class · grouped seed 20260909	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260909	1	604	152	19962	15184	2000	0.857991080463758	0.8501129918468628	0.881578947368421	0.9751850664290389	0.9170131364177709	0.4067786050875283	0
four_class_seed_20260909_patient_grouped	4-class · grouped seed 20260909	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260909	2	605	151	19962	15170	2000	0.942726387536514	0.9368610029211295	0.9403973509933775	0.9895530270384335	0.9643517614782349	0.3305964650890353	0
four_class_seed_20260909_patient_grouped	4-class · grouped seed 20260909	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260909	3	605	151	19962	15163	2000	0.8920510503910988	0.89375	0.9072847682119205	0.9877267668200627	0.9553453848185228	0.3767964123092768	0
four_class_seed_20260909_patient_grouped	4-class · grouped seed 20260909	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260909	4	605	151	19962	15202	2000	0.933950671995359	0.9429771505376343	0.9271523178807947	0.9908387374607357	0.9675343138059114	0.3769678210100674	0
four_class_seed_20260909_patient_grouped	4-class · grouped seed 20260909	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260909	5	605	151	19962	15190	2000	0.896243080311857	0.9037615740740741	0.9139072847682119	0.9903596438728481	0.9565360814072169	0.3533015947974221	0
four_class_seed_20260910_patient_grouped	4-class · grouped seed 20260910	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260910	1	604	152	19962	15186	2000	0.9131324390704705	0.9115384615384616	0.9210526315789473	0.986479998693353	0.9609756596489463	0.3587210917309398	0
four_class_seed_20260910_patient_grouped	4-class · grouped seed 20260910	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260910	2	605	151	19962	15194	2000	0.9215407177363699	0.9051697906523857	0.9271523178807947	0.988803182137834	0.9767056286825915	0.34420516512179195	0
four_class_seed_20260910_patient_grouped	4-class · grouped seed 20260910	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260910	3	605	151	19962	15184	2000	0.9073752723678594	0.9109543010752689	0.9072847682119205	0.9880006512736199	0.9613345429835164	0.39865348678744644	0
four_class_seed_20260910_patient_grouped	4-class · grouped seed 20260910	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260910	4	605	151	19962	15175	2000	0.9093768074031232	0.9354166666666666	0.9205298013245033	0.9896004190256507	0.9679219845439007	0.36708003351125784	0
four_class_seed_20260910_patient_grouped	4-class · grouped seed 20260910	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260910	5	605	151	19962	15170	2000	0.8763005457904937	0.8701804915514593	0.9205298013245033	0.9887252439692447	0.9325568208829849	0.3513964291104245	0
four_class_seed_20260911_patient_grouped	4-class · grouped seed 20260911	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260911	1	604	152	19962	15186	2000	0.9255219636685155	0.9481278801843318	0.9342105263157895	0.9872688802958545	0.9508399217730577	0.36308572468557937	0
four_class_seed_20260911_patient_grouped	4-class · grouped seed 20260911	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260911	2	605	151	19962	15189	2000	0.8955128205128206	0.8822916666666667	0.9205298013245033	0.9889062292892636	0.9602747576493008	0.3701724149638229	0
four_class_seed_20260911_patient_grouped	4-class · grouped seed 20260911	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260911	3	605	151	19962	15177	2000	0.8910288711742598	0.8890625	0.9072847682119205	0.9840129118003975	0.9498157579567608	0.369240534863447	0
four_class_seed_20260911_patient_grouped	4-class · grouped seed 20260911	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260911	4	605	151	19962	15177	2000	0.9051397307834599	0.9062106538921055	0.9139072847682119	0.9884581923337775	0.9554692501942408	0.370582522712188	0
four_class_seed_20260911_patient_grouped	4-class · grouped seed 20260911	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260911	5	605	151	19962	15188	2000	0.9162259513518094	0.9040084388185654	0.9139072847682119	0.9906992989127317	0.9794954698677547	0.3456079903926958	0
four_class_seed_20260909_sample_stratified	4-class · sample split seed 20260909	split_unit	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_sample_stratified	20260909	1	604	152	19962	15174	2000	0.8848013669857057	0.8792460563629919	0.9013157894736842	0.9841120709409523	0.9479404572354954	0.3798321471497898	0
four_class_seed_20260909_sample_stratified	4-class · sample split seed 20260909	split_unit	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_sample_stratified	20260909	2	605	151	19962	15170	2000	0.9248216501240696	0.9375	0.9271523178807947	0.9888172026144028	0.9675414174624487	0.3471195640753564	0
four_class_seed_20260909_sample_stratified	4-class · sample split seed 20260909	split_unit	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_sample_stratified	20260909	3	605	151	19962	15184	2000	0.9022242642430955	0.8942708333333333	0.9006622516556292	0.9791531253042305	0.9399957520621277	0.37166536272878653	0
four_class_seed_20260909_sample_stratified	4-class · sample split seed 20260909	split_unit	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_sample_stratified	20260909	4	605	151	19962	15192	2000	0.856749161543682	0.8568865740740741	0.9072847682119205	0.9864955278762099	0.9329414166021743	0.3822952434934768	0
four_class_seed_20260909_sample_stratified	4-class · sample split seed 20260909	split_unit	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_sample_stratified	20260909	5	605	151	19962	15187	2000	0.9550837076357697	0.9550837076357697	0.9470198675496688	0.9923484925820063	0.9806200913657229	0.35172501166293973	0
