model	macro_f1_mean	macro_f1_std	balanced_accuracy_mean	balanced_accuracy_std	accuracy_mean	accuracy_std	macro_ovr_roc_auc_mean	macro_ovr_roc_auc_std	multiclass_log_loss_mean	multiclass_log_loss_std	unique_nonzero_genes_mean	unique_nonzero_genes_std
dummy_prior	0.17272668860375007	0.0006397072207610638	0.25	0.0	0.5277797141861276	0.002982119154577568	0.5	0.0	1.1791540272865224	0.006443605374836624		
multinomial_logistic_l2	0.8659689772219744	0.04265525100614629	0.8808305734812727	0.042049027523692994	0.8729958173579645	0.04073010713750495	0.9806716244727145	0.008497167419778922	0.3311788499355316	0.12975851929284554	1000.0	0.0
multinomial_logistic_elastic_net	0.8897079186988727	0.052985319934154645	0.9006002699784601	0.05031896277887404	0.8981352387591496	0.044111215386130345	0.9853491950350645	0.00638160332120584	0.2684933841228485	0.049093208596476895	170.8	56.63656063003826
