model	outer_fold	outer_train_n	outer_validation_n	low_expression_pass_genes	selected_genes	nonzero_impurity_importance_genes	macro_f1	balanced_accuracy	accuracy	macro_ovr_roc_auc	multiclass_log_loss	inner_best_macro_f1	warning_count
random_forest	1	604	152	15174	2000	2000	0.8848013669857057	0.8792460563629919	0.9013157894736842	0.9841120709409523	0.3798321471497898	0.9118107153081564	0
random_forest	2	605	151	15170	2000	2000	0.9248216501240696	0.9375	0.9271523178807947	0.9888172026144029	0.3471195640753564	0.9070985229123064	0
random_forest	3	605	151	15184	2000	1999	0.9022242642430955	0.8942708333333333	0.9006622516556292	0.9791531253042305	0.37166536272878653	0.9111805036987676	0
random_forest	4	605	151	15192	2000	1999	0.856749161543682	0.8568865740740741	0.9072847682119205	0.9864955278762099	0.3822952434934768	0.9074407159535125	0
random_forest	5	605	151	15187	2000	2000	0.9550837076357697	0.9550837076357697	0.9470198675496688	0.9923484925820063	0.35172501166293973	0.8884962172654136	0
