comparison	metric	outer_fold	random_forest_value	comparator_value	difference	random_forest_higher
random_forest_minus_multinomial_logistic_l2	macro_f1	1	0.8848013669857057	0.8781870562922778	0.006614310693427883	True
random_forest_minus_multinomial_logistic_l2	macro_f1	2	0.9248216501240696	0.8392494929006085	0.08557215722346112	True
random_forest_minus_multinomial_logistic_l2	macro_f1	3	0.9022242642430957	0.8124411685005456	0.08978309574255006	True
random_forest_minus_multinomial_logistic_l2	macro_f1	4	0.856749161543682	0.875129448016772	-0.01838028647308998	False
random_forest_minus_multinomial_logistic_l2	macro_f1	5	0.9550837076357696	0.9248377203996684	0.03024598723610117	True
random_forest_minus_multinomial_logistic_l2	balanced_accuracy	1	0.8792460563629919	0.8895249911378944	-0.010278934774902493	False
random_forest_minus_multinomial_logistic_l2	balanced_accuracy	2	0.9375	0.878125	0.059374999999999956	True
random_forest_minus_multinomial_logistic_l2	balanced_accuracy	3	0.8942708333333333	0.815625	0.0786458333333333	True
random_forest_minus_multinomial_logistic_l2	balanced_accuracy	4	0.8568865740740741	0.8882523148148148	-0.03136574074074072	False
random_forest_minus_multinomial_logistic_l2	balanced_accuracy	5	0.9550837076357696	0.9326255614536544	0.02245814618211517	True
random_forest_minus_multinomial_logistic_l2	accuracy	1	0.9013157894736842	0.8881578947368421	0.013157894736842035	True
random_forest_minus_multinomial_logistic_l2	accuracy	2	0.9271523178807948	0.8410596026490066	0.08609271523178819	True
random_forest_minus_multinomial_logistic_l2	accuracy	3	0.9006622516556292	0.8211920529801324	0.07947019867549676	True
random_forest_minus_multinomial_logistic_l2	accuracy	4	0.9072847682119204	0.8940397350993378	0.013245033112582627	True
random_forest_minus_multinomial_logistic_l2	accuracy	5	0.9470198675496688	0.9205298013245032	0.026490066225165587	True
random_forest_minus_multinomial_logistic_elastic_net	macro_f1	1	0.8848013669857057	0.9111751152073732	-0.026373748221667492	False
random_forest_minus_multinomial_logistic_elastic_net	macro_f1	2	0.9248216501240696	0.8655162738496072	0.05930537627446242	True
random_forest_minus_multinomial_logistic_elastic_net	macro_f1	3	0.9022242642430957	0.8372106154714851	0.06501364877161053	True
random_forest_minus_multinomial_logistic_elastic_net	macro_f1	4	0.856749161543682	0.8629910274647117	-0.00624186592102971	False
random_forest_minus_multinomial_logistic_elastic_net	macro_f1	5	0.9550837076357696	0.9716465615011858	-0.016562853865416227	False
random_forest_minus_multinomial_logistic_elastic_net	balanced_accuracy	1	0.8792460563629919	0.9306883640552996	-0.05144230769230773	False
random_forest_minus_multinomial_logistic_elastic_net	balanced_accuracy	2	0.9375	0.8692708333333334	0.06822916666666656	True
random_forest_minus_multinomial_logistic_elastic_net	balanced_accuracy	3	0.8942708333333333	0.8421875	0.05208333333333337	True
random_forest_minus_multinomial_logistic_elastic_net	balanced_accuracy	4	0.8568865740740741	0.8913773148148149	-0.034490740740740766	False
random_forest_minus_multinomial_logistic_elastic_net	balanced_accuracy	5	0.9550837076357696	0.9694773376888526	-0.014393630053083029	False
random_forest_minus_multinomial_logistic_elastic_net	accuracy	1	0.9013157894736842	0.9078947368421052	-0.006578947368421018	False
random_forest_minus_multinomial_logistic_elastic_net	accuracy	2	0.9271523178807948	0.8874172185430463	0.039735099337748436	True
random_forest_minus_multinomial_logistic_elastic_net	accuracy	3	0.9006622516556292	0.847682119205298	0.052980132450331174	True
random_forest_minus_multinomial_logistic_elastic_net	accuracy	4	0.9072847682119204	0.8807947019867549	0.026490066225165476	True
random_forest_minus_multinomial_logistic_elastic_net	accuracy	5	0.9470198675496688	0.9668874172185432	-0.019867549668874385	False
random_forest_minus_linear_svc	macro_f1	1	0.8848013669857057	0.8753947340903863	0.0094066328953194	True
random_forest_minus_linear_svc	macro_f1	2	0.9248216501240696	0.8809523809523809	0.04386926917168865	True
random_forest_minus_linear_svc	macro_f1	3	0.9022242642430957	0.8561965811965813	0.04602768304651439	True
random_forest_minus_linear_svc	macro_f1	4	0.856749161543682	0.8273957523957525	0.0293534091479295	True
random_forest_minus_linear_svc	macro_f1	5	0.9550837076357696	0.9185933347698054	0.03649037286596413	True
random_forest_minus_linear_svc	balanced_accuracy	1	0.8792460563629919	0.8882145072669267	-0.008968450903934833	False
random_forest_minus_linear_svc	balanced_accuracy	2	0.9375	0.9140625	0.0234375	True
random_forest_minus_linear_svc	balanced_accuracy	3	0.8942708333333333	0.88125	0.01302083333333337	True
random_forest_minus_linear_svc	balanced_accuracy	4	0.8568865740740741	0.827199074074074	0.02968750000000009	True
random_forest_minus_linear_svc	balanced_accuracy	5	0.9550837076357696	0.9392609228256432	0.015822784810126334	True
random_forest_minus_linear_svc	accuracy	1	0.9013157894736842	0.875	0.02631578947368418	True
random_forest_minus_linear_svc	accuracy	2	0.9271523178807948	0.8874172185430463	0.039735099337748436	True
random_forest_minus_linear_svc	accuracy	3	0.9006622516556292	0.847682119205298	0.052980132450331174	True
random_forest_minus_linear_svc	accuracy	4	0.9072847682119204	0.8741721854304636	0.03311258278145679	True
random_forest_minus_linear_svc	accuracy	5	0.9470198675496688	0.913907284768212	0.03311258278145679	True
