model	pam50_class	precision	recall	f1	support
random_forest	Luminal A	0.9509043927648578	0.9223057644110275	0.9363867684478372	399
random_forest	Luminal B	0.7840909090909091	0.8734177215189873	0.8263473053892215	158
random_forest	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
random_forest	HER2-enriched	0.9122807017543859	0.8387096774193549	0.8739495798319328	62
