model	macro_f1_mean	macro_f1_std	balanced_accuracy_mean	balanced_accuracy_std	accuracy_mean	accuracy_std	probability_macro_ovr_roc_auc_mean	probability_macro_ovr_roc_auc_std	multiclass_log_loss_mean	multiclass_log_loss_std	selected_genes_mean	effective_nonzero_genes_mean	probability_source
dummy_prior	0.17272668860375	0.000639707220761	0.25	0.0	0.5277797141861276	0.0029821191545775	0.5	0.0	1.1791540272865224	0.0064436053748366	1000.0		native predict_proba
multinomial_logistic_l2	0.8659689772219744	0.0426552510061462	0.8808305734812727	0.0420490275236929	0.8729958173579645	0.0407301071375049	0.9806716244727144	0.0084971674197789	0.3311788499355316	0.1297585192928455	1000.0	1000.0	native predict_proba
multinomial_logistic_elastic_net	0.8897079186988727	0.0529853199341546	0.9006002699784601	0.050318962778874	0.8981352387591496	0.0441112153861303	0.9853491950350644	0.0063816033212058	0.2684933841228485	0.0490932085964768	1000.0	170.8	native predict_proba
linear_svc	0.8717065566809813	0.0335464774400458	0.8899974008333288	0.0419206070195766	0.879635761589404	0.0240180379344703	0.976756309644435	0.0103024015520349	0.3211710624754724	0.050937633409508	1000.0	1000.0	training-only CalibratedClassifierCV
random_forest	0.9047360301064644	0.0375658091888049	0.9045974342812336	0.0407955262844606	0.9166869989543396	0.0200690954409593	0.9861852838635604	0.004968849343449	0.3665274658220698	0.0161849825601881	2000.0	1999.6	native predict_proba
