model	pam50_class	precision	recall	f1	support
linear_svc	Luminal A	0.9278074866310161	0.8696741854636592	0.8978007761966365	399
linear_svc	Luminal B	0.7231638418079096	0.810126582278481	0.764179104477612	158
linear_svc	Basal-like	0.9925925925925926	0.9781021897810219	0.9852941176470589	137
linear_svc	HER2-enriched	0.8	0.9032258064516129	0.8484848484848485	62
