param_classifier__max_depth	param_classifier__max_features	param_classifier__min_samples_leaf	param_classifier__n_estimators	param_variance_selector__k	mean_test_macro_f1	std_test_macro_f1	rank_test_macro_f1	mean_test_balanced_accuracy	std_test_balanced_accuracy	rank_test_balanced_accuracy
	sqrt	1	250	500	0.8606072929971311	0.023819740796867172	7	0.8668624580743047	0.029734911807532537	8
16	0.2	3	500	500	0.8574530116310332	0.031746433679975504	8	0.8683847004637378	0.03456886988545693	7
32	0.1	5	750	500	0.8532563892271605	0.021877069191509307	9	0.8657558577874267	0.02499949215485085	9
16	0.1	5	250	1000	0.874264602830532	0.047261635773856656	5	0.8852145228888288	0.04481247195490022	5
32	sqrt	1	500	1000	0.8664239912417901	0.04499524711193986	6	0.870322049770549	0.04460502240164909	6
	0.2	3	750	1000	0.8835972330832895	0.04189189049873882	4	0.8889220310554272	0.038633384554605625	4
32	0.2	3	250	2000	0.9009246529769971	0.043785077714373205	2	0.9047061521252517	0.042051223421461656	2
	0.1	5	500	2000	0.8985174204891248	0.04641920009899371	3	0.9017849342812339	0.042825951123232134	3
16	sqrt	1	750	2000	0.9066909909419494	0.033360241946768364	1	0.9058049424478323	0.036935415005842465	1
