feature_scheme	model	macro_f1_mean	macro_f1_std	balanced_accuracy_mean	balanced_accuracy_std	accuracy_mean	accuracy_std	macro_ovr_roc_auc_mean	macro_ovr_roc_auc_std	macro_average_precision_mean	macro_average_precision_std	multiclass_log_loss_mean	multiclass_log_loss_std
pam50_included	dummy_prior	0.17272668860375007	0.0006397072207610638	0.25	0.0	0.5277797141861276	0.002982119154577568	0.5	0.0	0.25	0.0	1.1791540272865224	0.006443605374836624
pam50_included	multinomial_logistic_l2	0.8659689772219744	0.04265525100614629	0.8808305734812727	0.042049027523692994	0.8729958173579645	0.04073010713750495	0.9806716244727145	0.008497167419778942	0.9441568333298775	0.02398538298300824	0.3311788544263824	0.12975852391168619
pam50_included	multinomial_logistic_elastic_net	0.8897079186988727	0.052985319934154645	0.9006002699784601	0.05031896277887404	0.8981352387591496	0.044111215386130345	0.9853491950350645	0.006381603321205771	0.9549894952966372	0.01853940308160617	0.26849339179760684	0.049093206796024344
pam50_included	linear_svc	0.8717065566809813	0.03354647744004589	0.8899974008333288	0.041920607019576686	0.879635761589404	0.02401803793447037	0.976756309644435	0.010302401552034931	0.9344892609794453	0.028312451172647687	0.32117106247547245	0.05093763340950801
pam50_included	random_forest	0.9047360301064644	0.03756580918880498	0.9045974342812337	0.040795526284460676	0.9166869989543395	0.020069095440959327	0.9861852838635603	0.004968849343449012	0.9538078269455937	0.019799719394103712	0.36652746582206985	0.01618498256018818
pam50_excluded	dummy_prior	0.17272668860375007	0.0006397072207610638	0.25	0.0	0.5277797141861276	0.002982119154577568	0.5	0.0	0.25	0.0	1.1791540272865224	0.006443605374836624
pam50_excluded	multinomial_logistic_l2	0.8706239985393441	0.03557242410458891	0.879688100362993	0.037295655995404346	0.8743290345067967	0.028145317672149967	0.9790847589241907	0.00923958658326622	0.9396959006357457	0.02420948415273268	0.28925905781955574	0.05810914118423701
pam50_excluded	multinomial_logistic_elastic_net	0.8655035492953566	0.029062374119522724	0.8781601808039895	0.03230995375301652	0.8730219588706867	0.024912311479086624	0.976133126085616	0.009385240650733977	0.9318997701272901	0.026250218655524193	0.31211441267144446	0.05747078797750321
pam50_excluded	linear_svc	0.8709300440416626	0.0404579743389416	0.884592005774121	0.04877300617657811	0.8743464621819449	0.03405137606641983	0.9746703316781413	0.01202009834521551	0.9288667293090732	0.030762871921457054	0.332861289163469	0.050318374069099184
pam50_excluded	random_forest	0.9024225579459767	0.03928018868155549	0.906005262960653	0.036995939750800635	0.9113802718717323	0.02907432986382525	0.9836272340364781	0.006073936785400194	0.9461493350847302	0.024373666724569844	0.38509129615305643	0.02051411596451994
