feature_scheme	model	outer_fold	n	macro_f1	balanced_accuracy	accuracy	macro_ovr_roc_auc	macro_average_precision	multiclass_log_loss
pam50_included	dummy_prior	1	152	0.1724137931034483	0.25	0.5263157894736842	0.5	0.25	1.1842551684554856
pam50_included	dummy_prior	2	151	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919814
pam50_included	dummy_prior	3	151	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919817
pam50_included	dummy_prior	4	151	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919814
pam50_included	dummy_prior	5	151	0.17173913043478262	0.25	0.5231788079470199	0.5	0.25	1.1878869817011826
pam50_included	multinomial_logistic_l2	1	152	0.8781870562922778	0.8895249911378944	0.8881578947368421	0.9838429292399016	0.9491921388346277	0.2745754409828389
pam50_included	multinomial_logistic_l2	2	151	0.8392494929006085	0.878125	0.8410596026490066	0.9790383004579886	0.9440145299102436	0.3539869627499573
pam50_included	multinomial_logistic_l2	3	151	0.8124411685005456	0.815625	0.8211920529801324	0.967743289685922	0.9159806895053344	0.5383114933678327
pam50_included	multinomial_logistic_l2	4	151	0.875129448016772	0.8882523148148148	0.8940397350993378	0.9816726257101266	0.9311927909159675	0.29788666233919425
pam50_included	multinomial_logistic_l2	5	151	0.9248377203996683	0.9326255614536545	0.9205298013245033	0.9910609772696339	0.9804040174832145	0.1911337126920886
pam50_included	multinomial_logistic_elastic_net	1	152	0.9111751152073733	0.9306883640552996	0.9078947368421053	0.9875072044940724	0.9625714654680935	0.27137351396564674
pam50_included	multinomial_logistic_elastic_net	2	151	0.8655162738496072	0.8692708333333334	0.8874172185430463	0.9855420100834943	0.9491780217367194	0.24080737694040336
pam50_included	multinomial_logistic_elastic_net	3	151	0.8372106154714851	0.8421875	0.847682119205298	0.9752498260298141	0.9390327302442257	0.3289012536346161
pam50_included	multinomial_logistic_elastic_net	4	151	0.8629910274647117	0.8913773148148149	0.8807947019867549	0.9856049015385868	0.9405380836551339	0.29856150694558936
pam50_included	multinomial_logistic_elastic_net	5	151	0.9716465615011858	0.9694773376888526	0.9668874172185431	0.9928420330293544	0.983627175379014	0.20282330750177863
pam50_included	linear_svc	1	152	0.8753947340903863	0.8882145072669267	0.875	0.9745526417555858	0.9143275950665706	0.33362244485765097
pam50_included	linear_svc	2	151	0.8809523809523809	0.9140625	0.8874172185430463	0.9829004439069173	0.9523121443007752	0.2868316663919321
pam50_included	linear_svc	3	151	0.8561965811965813	0.88125	0.847682119205298	0.9608496895819834	0.9230021626383005	0.372961536093462
pam50_included	linear_svc	4	151	0.8273957523957525	0.827199074074074	0.8741721854304636	0.9773851174400234	0.9078261630905541	0.3606027674817583
pam50_included	linear_svc	5	151	0.9185933347698054	0.9392609228256431	0.9139072847682119	0.9880936555376655	0.9749782398010258	0.2518368975525588
