model	macro_f1_mean	macro_f1_std	balanced_accuracy_mean	balanced_accuracy_std	accuracy_mean	accuracy_std	macro_ovr_roc_auc_mean	macro_ovr_roc_auc_std	macro_average_precision_mean	macro_average_precision_std	multiclass_log_loss_mean	multiclass_log_loss_std	selected_genes_mean	selected_genes_std
dummy_prior	0.17272668860375007	0.0006397072207610638	0.25	0.0	0.5277797141861276	0.002982119154577568	0.5	0.0	0.25	0.0	1.1791540272865224	0.006443605374836624	1000.0	0.0
multinomial_logistic_l2	0.8706239985393441	0.03557242410458891	0.879688100362993	0.037295655995404346	0.8743290345067967	0.028145317672149967	0.9790847589241907	0.00923958658326622	0.9396959006357457	0.02420948415273268	0.2892590492963791	0.05810913750778295	1000.0	0.0
multinomial_logistic_elastic_net	0.8655035492953566	0.029062374119522724	0.8781601808039895	0.03230995375301652	0.8730219588706867	0.024912311479086624	0.976133126085616	0.009385240650733977	0.9318997701272901	0.026250218655524193	0.312114417552948	0.05747079684825415	1000.0	0.0
linear_svc	0.8709300440416626	0.0404579743389416	0.884592005774121	0.04877300617657811	0.8743464621819449	0.03405137606641983	0.9746703316781413	0.01202009834521551	0.9288667293090732	0.030762871921457054	0.332861289163469	0.050318374069099184	1000.0	0.0
random_forest	0.9024225579459767	0.03928018868155549	0.906005262960653	0.036995939750800635	0.9113802718717323	0.02907432986382525	0.9836272340364781	0.006073936785400194	0.9461493350847302	0.024373666724569844	0.3850912961530564	0.02051411596451992	2000.0	0.0
