feature_scheme	model	outer_fold	outer_train_n	outer_validation_n	candidate_genes_before_filter	pam50_genes_removed_before_pipeline	low_expression_pass_genes	selected_genes	selected_pam50_overlap	macro_f1	balanced_accuracy	accuracy	macro_ovr_roc_auc	macro_average_precision	multiclass_log_loss	inner_best_macro_f1	warning_count
pam50_excluded	dummy_prior	1	604	152	19912	50	15125	1000	0	0.1724137931034483	0.25	0.5263157894736842	0.5	0.25	1.1842551684554856	0.1728046078865751	0
pam50_excluded	dummy_prior	2	605	151	19912	50	15121	1000	0	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919814	0.172617508813161	0
pam50_excluded	dummy_prior	3	605	151	19912	50	15135	1000	0	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919817	0.172617508813161	0
pam50_excluded	dummy_prior	4	605	151	19912	50	15143	1000	0	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919814	0.172617508813161	0
pam50_excluded	dummy_prior	5	605	151	19912	50	15138	1000	0	0.17173913043478262	0.25	0.5231788079470199	0.5	0.25	1.1878869817011826	0.17297297297297298	0
pam50_excluded	multinomial_logistic_l2	1	604	152	19912	50	15125	1000	0	0.8768780573025856	0.8814604750088622	0.881578947368421	0.9775407212307912	0.9341696409079123	0.3331573009490967	0.87867972659812	0
pam50_excluded	multinomial_logistic_l2	2	605	151	19912	50	15121	1000	0	0.8826521585279548	0.90625	0.8807947019867549	0.9813250149968793	0.9464246063595763	0.26560765504837036	0.8702394564472318	0
pam50_excluded	multinomial_logistic_l2	3	605	151	19912	50	15135	1000	0	0.851723101582849	0.8520833333333333	0.8410596026490066	0.9645872723646152	0.9171747309769281	0.349804550409317	0.889189089160241	0
pam50_excluded	multinomial_logistic_l2	4	605	151	19912	50	15143	1000	0	0.8233919648393332	0.8340856481481481	0.8543046357615894	0.982199734352246	0.9226592844887459	0.29408887028694153	0.8812869653775108	0
pam50_excluded	multinomial_logistic_l2	5	605	151	19912	50	15138	1000	0	0.9184747104439986	0.9245610453246222	0.9139072847682119	0.9897710516764212	0.9780512404455663	0.20363686978816986	0.8735763816087416	0
pam50_excluded	multinomial_logistic_elastic_net	1	604	152	19912	50	15125	1000	0	0.8608365778177098	0.8702709588798299	0.868421052631579	0.9737806675096525	0.9299065007046401	0.36607205867767334	0.8772103181027943	0
pam50_excluded	multinomial_logistic_elastic_net	2	605	151	19912	50	15121	1000	0	0.8418209076436924	0.8567708333333334	0.8609271523178808	0.9765055383790968	0.9252869830080588	0.29860177636146545	0.8701560471350771	0
pam50_excluded	multinomial_logistic_elastic_net	3	605	151	19912	50	15135	1000	0	0.8581987577639751	0.8729166666666666	0.847682119205298	0.9641258127655764	0.9126371881706654	0.356900155544281	0.8833755734866282	0
pam50_excluded	multinomial_logistic_elastic_net	4	605	151	19912	50	15143	1000	0	0.8508741655890679	0.8564814814814815	0.8741721854304636	0.9758928744339925	0.9146153748621695	0.31682583689689636	0.8621172830233526	0
pam50_excluded	multinomial_logistic_elastic_net	5	605	151	19912	50	15138	1000	0	0.9157873376623377	0.9343609636586362	0.9139072847682119	0.9903607373397616	0.9770528038909163	0.22217226028442383	0.8689106047813461	0
pam50_excluded	linear_svc	1	604	152	19912	50	15125	1000	0	0.8641742643668497	0.8801499911378945	0.868421052631579	0.9706478038525277	0.9041318299774894	0.3523548834564913	0.8761627984823075	0
pam50_excluded	linear_svc	2	605	151	19912	50	15121	1000	0	0.8809523809523809	0.9140625	0.8874172185430463	0.9806145697715706	0.9501121492326079	0.30214778702890666	0.8583713281287146	0
pam50_excluded	linear_svc	3	605	151	19912	50	15135	1000	0	0.8163461538461538	0.80625	0.8211920529801324	0.9559343847859338	0.9117109113705275	0.3976815267649052	0.8687159138582576	0
pam50_excluded	linear_svc	4	605	151	19912	50	15143	1000	0	0.8641451629784132	0.8881365740740741	0.8807947019867549	0.9789530483539028	0.9059117743851479	0.34584978325884347	0.8732551456467007	0
pam50_excluded	linear_svc	5	605	151	19912	50	15138	1000	0	0.9290322580645161	0.9343609636586362	0.9139072847682119	0.9872018516267722	0.9724669815795934	0.26627246530819854	0.856935906399924	0
pam50_excluded	random_forest	1	604	152	19912	50	15125	2000	0	0.8928224095087303	0.8935373094647289	0.9078947368421053	0.9816070184192072	0.938184220071076	0.40958056283885785	0.9112529405221712	0
pam50_excluded	random_forest	2	605	151	19912	50	15121	2000	0	0.9186065182145011	0.9296875	0.9205298013245033	0.9865238890228804	0.9582811017215617	0.378363375907636	0.900448422486064	0
pam50_excluded	random_forest	3	605	151	19912	50	15135	2000	0	0.8841408591408592	0.8770833333333334	0.8741721854304636	0.9752664946247523	0.9354839697274477	0.3994586200469424	0.9166831470598998	0
pam50_excluded	random_forest	4	605	151	19912	50	15143	2000	0	0.8562378167641326	0.8714699074074074	0.9006622516556292	0.9830572144201644	0.9175332479631364	0.35646151238688334	0.907199828409941	0
pam50_excluded	random_forest	5	605	151	19912	50	15138	2000	0	0.9603051861016599	0.958248264597795	0.9536423841059603	0.9916815536953859	0.9812641359404288	0.3815924095849624	0.8792470573297292	0
