pam50_class	matrix_column	coefficient_sum	coefficient_sum_squares	absolute_coefficient_sum	selected_fold_count	nonzero_fold_count	positive_fold_count	negative_fold_count	mean_coefficient_including_zeros	mean_absolute_coefficient_including_zeros	coefficient_sd_including_zeros	sign_consistency	gene_id	gene_id_without_version	gene_name	gene_type	top20_outer_fold_count	top20_outer_fold_frequency	direction	direction_rank
Luminal A	8549	-0.8620551750063895	0.21189377465563622	0.8620551750063895	5.0	5.0	0.0	5.0	-0.1724110350012779	0.1724110350012779	0.12576361725930202	1.0	ENSG00000144354.14	ENSG00000144354	CDCA7	protein_coding	4.0	0.8	negative	4
Luminal A	2209	-0.5102027952671049	0.08849433980198942	0.5102027952671049	4.0	3.0	0.0	3.0	-0.10204055905342098	0.10204055905342098	0.09543710146258104	1.0	ENSG00000100167.20	ENSG00000100167	SEPTIN3	protein_coding	3.0	0.6	negative	5
Luminal A	9013	-0.468382880091667	0.05416782138224703	0.468382880091667	5.0	5.0	0.0	5.0	-0.0936765760183334	0.0936765760183334	0.05072306405781804	1.0	ENSG00000147689.16	ENSG00000147689	FAM83A	protein_coding	3.0	0.6	negative	6
Luminal A	6965	-0.4575592018663882	0.052701707237281514	0.4575592018663882	5.0	5.0	0.0	5.0	-0.09151184037327764	0.09151184037327764	0.052032736317534446	1.0	ENSG00000134824.14	ENSG00000134824	FADS2	protein_coding	0.0	0.0	negative	7
Luminal A	28665	-0.2432327703572808	0.055953500391176955	0.2432327703572808	5.0	2.0	0.0	2.0	-0.04864655407145616	0.04864655407145616	0.10502507352537466	1.0	ENSG00000229314.5	ENSG00000229314	ORM1	protein_coding	1.0	0.2	negative	8
Luminal A	27973	-0.1679125130176544	0.028194612027903954	0.1679125130176544	5.0	1.0	0.0	1.0	-0.03358250260353088	0.03358250260353088	0.0750927586760587	1.0	ENSG00000228278.5	ENSG00000228278	ORM2	protein_coding	0.0	0.0	negative	9
Luminal A	15704	-0.1541665494441986	0.023767324967530534	0.1541665494441986	5.0	1.0	0.0	1.0	-0.03083330988883972	0.03083330988883972	0.0689453768827621	1.0	ENSG00000184330.12	ENSG00000184330	S100A7A	protein_coding	0.0	0.0	negative	10
Luminal A	5869	-0.1524935811758041	0.02325429229982156	0.1524935811758041	5.0	1.0	0.0	1.0	-0.030498716235160823	0.030498716235160823	0.06819720272829606	1.0	ENSG00000126878.13	ENSG00000126878	AIF1L	protein_coding	0.0	0.0	negative	11
Luminal A	948	-0.1430470123887061	0.011408507368061692	0.1430470123887061	3.0	2.0	0.0	2.0	-0.02860940247774122	0.02860940247774122	0.04276686163782294	1.0	ENSG00000065833.9	ENSG00000065833	ME1	protein_coding	1.0	0.2	negative	12
Luminal A	16269	-0.1401843875646591	0.019651662516878547	0.1401843875646591	5.0	1.0	0.0	1.0	-0.028036877512931817	0.028036877512931817	0.06269236399575079	1.0	ENSG00000186526.13	ENSG00000186526	CYP4F8	protein_coding	0.0	0.0	negative	13
Luminal A	479	-0.13883587857708318	0.013626203074777013	0.13883587857708318	5.0	3.0	0.0	3.0	-0.027767175715416637	0.027767175715416637	0.04942449503718499	1.0	ENSG00000029559.7	ENSG00000029559	IBSP	protein_coding	0.0	0.0	negative	14
Luminal A	4330	-0.1288486905395984	0.008329861020093091	0.1288486905395984	5.0	2.0	0.0	2.0	-0.02576973810791968	0.02576973810791968	0.035388783566757606	1.0	ENSG00000114805.18	ENSG00000114805	PLCH1	protein_coding	0.0	0.0	negative	15
