pam50_class	matrix_column	gene_name	top20_outer_fold_count	mean_coefficient_when_top20	positive_top20_fold_count	negative_top20_fold_count	top20_outer_fold_frequency	dominant_direction
Luminal A	3421	ATRNL1	2	0.06951525807380675	2	0	0.4	positive
Luminal A	3129	FAM83E	2	0.11784297972917551	2	0	0.4	positive
Luminal A	5743	LAMP5	2	0.16173768788576126	2	0	0.4	positive
Luminal A	6503	RAI2	2	0.15718211233615875	2	0	0.4	positive
Luminal A	13302	TTC36	2	0.10330381244421	2	0	0.4	positive
Luminal A	13807	UBE2C	2	-0.8652054667472839	0	2	0.4	negative
Luminal A	387	VSIG2	2	0.13117383047938344	2	0	0.4	positive
Luminal B	8852	ARMT1	2	0.14225715398788452	2	0	0.4	positive
Luminal B	51741	CD24	2	-0.15549536049365997	0	2	0.4	negative
Luminal B	6165	FOXJ1	2	0.12169087678194045	2	0	0.4	positive
Luminal B	7962	IGF1R	2	0.11690848320722574	2	0	0.4	positive
Luminal B	316	LTF	2	-0.07177214324474329	0	2	0.4	negative
Luminal B	13510	SAA1	2	-0.24788074567914004	0	2	0.4	negative
Luminal B	1472	SCGN	2	-0.20336144790053365	0	2	0.4	negative
Luminal B	8099	SLC39A6	2	0.0916523747146129	2	0	0.4	positive
Luminal B	13807	UBE2C	2	0.5532333850860596	2	0	0.4	positive
Basal-like	3324	AGR2	1	-0.0418701618909835	0	1	0.2	negative
Basal-like	10632	AQP5	1	0.0688492953777313	1	0	0.2	positive
Basal-like	3095	CEACAM5	1	-0.3629137873649597	0	1	0.2	negative
Basal-like	902	CHI3L2	1	0.1646564304828643	1	0	0.2	positive
Basal-like	11291	CMBL	1	-0.0509160310029983	0	1	0.2	negative
Basal-like	6027	CPA4	1	0.1455836594104766	1	0	0.2	positive
Basal-like	11395	KCNK5	1	0.0203951131552457	1	0	0.2	positive
Basal-like	7387	LMX1B	1	-0.0327135883271694	0	1	0.2	negative
Basal-like	2709	MSLN	1	0.0257176328450441	1	0	0.2	positive
Basal-like	1979	PHGDH	1	0.0815744996070861	1	0	0.2	positive
Basal-like	5449	PI3	1	0.0281323734670877	1	0	0.2	positive
Basal-like	11089	PTX3	1	0.0842983722686767	1	0	0.2	positive
Basal-like	4300	ROPN1B	1	0.0824140682816505	1	0	0.2	positive
HER2-enriched	20082	AARD	1	-0.107589453458786	0	1	0.2	negative
HER2-enriched	8564	ABCA12	1	0.0342287048697471	1	0	0.2	positive
